group	y	clickSelects
1	-0.495651979492715	1
1	-0.496601048168068	2
1	-0.417581000623556	3
1	-0.428723140023172	4
1	-0.432630848281448	5
1	-0.318327622736462	6
1	-0.495651979492715	1
1	-0.496601048168068	2
1	-0.512003797785377	3
1	-0.517038698966774	4
1	-0.511368197789869	5
1	-0.489477859927073	6
1	-0.0964621235016715	1
1	-0.0557222490806308	2
1	-0.189436305466084	3
1	-0.264284893747434	4
1	-0.522737662317147	5
1	-0.536779274637556	6
1	-0.0964621235016715	1
1	-0.0557222490806309	2
1	-0.158085185100615	3
1	-0.154912164660695	4
1	-0.15052109585825	5
1	-0.15577858231659	6
1	-0.486767323502953	19
1	-0.49152913380508	20
1	-0.442616735214524	21
1	-0.427935540710693	22
1	-0.380029470738081	23
1	-0.392530833550094	24
1	-0.486767323502953	19
1	-0.49152913380508	20
1	-0.487181870363837	21
1	-0.472922750404129	22
1	-0.465518213848423	23
1	-0.464993522580878	24
1	-0.0547770346587207	19
1	-0.0499599492226005	20
1	-0.0254492796287467	21
1	-0.221216674459181	22
1	-0.460640694415069	23
1	-0.447721181066677	24
1	-0.0547770346587207	19
1	-0.0499599492226004	20
1	-0.0014262733888473	21
1	-0.048087539980526	22
1	-0.0739425468290299	23
1	-0.0852029750279383	24
1	-0.515816135968325	37
1	-0.582892560596371	38
1	-0.525136439755011	39
1	-0.606811226455096	40
1	-0.52206932794736	41
1	-0.535847392121818	42
1	-0.515816135968325	37
1	-0.582892560596371	38
1	-0.584478501940958	39
1	-0.614747409547856	40
1	-0.615520850619291	41
1	-0.614601305271986	42
1	-0.0379844045631678	37
1	-0.0398126469063918	38
1	-0.0568350688525943	39
1	-0.210600068377934	40
1	-0.271382735782017	41
1	-0.333080746685074	42
1	-0.0379844045631678	37
1	-0.0398126469063918	38
1	-0.0712001053986964	39
1	-0.0778388274574156	40
1	-0.0805849389133469	41
1	-0.07730635457589	42
