group	PANEL	colour	showSelected1	x
1	1	#FF0000	rpart	1
1	1	#FF0000	rpart	1.25527250510331
1	1	#FF0000	rpart	1.51851393987789
1	1	#FF0000	rpart	1.77815125038364
1	1	#FF0000	rpart	2.04139268515823
1	1	#FF0000	rpart	2.30102999566398
1	1	#0000FF	featureless	1
1	1	#0000FF	featureless	1.25527250510331
1	1	#0000FF	featureless	1.51851393987789
1	1	#0000FF	featureless	1.77815125038364
1	1	#0000FF	featureless	2.04139268515823
1	1	#0000FF	featureless	2.30102999566398
1	2	#FF0000	rpart	1
1	2	#FF0000	rpart	1.25527250510331
1	2	#FF0000	rpart	1.51851393987789
1	2	#FF0000	rpart	1.77815125038364
1	2	#FF0000	rpart	2.04139268515823
1	2	#FF0000	rpart	2.30102999566398
1	2	#0000FF	featureless	1
1	2	#0000FF	featureless	1.25527250510331
1	2	#0000FF	featureless	1.51851393987789
1	2	#0000FF	featureless	1.77815125038364
1	2	#0000FF	featureless	2.04139268515823
1	2	#0000FF	featureless	2.30102999566398
1	3	#FF0000	rpart	1
1	3	#FF0000	rpart	1.25527250510331
1	3	#FF0000	rpart	1.51851393987789
1	3	#FF0000	rpart	1.77815125038364
1	3	#FF0000	rpart	2.04139268515823
1	3	#FF0000	rpart	2.30102999566398
1	3	#0000FF	featureless	1
1	3	#0000FF	featureless	1.25527250510331
1	3	#0000FF	featureless	1.51851393987789
1	3	#0000FF	featureless	1.77815125038364
1	3	#0000FF	featureless	2.04139268515823
1	3	#0000FF	featureless	2.30102999566398
1	4	#FF0000	rpart	1
1	4	#FF0000	rpart	1.25527250510331
1	4	#FF0000	rpart	1.51851393987789
1	4	#FF0000	rpart	1.77815125038364
1	4	#FF0000	rpart	2.04139268515823
1	4	#FF0000	rpart	2.30102999566398
1	4	#0000FF	featureless	1
1	4	#0000FF	featureless	1.25527250510331
1	4	#0000FF	featureless	1.51851393987789
1	4	#0000FF	featureless	1.77815125038364
1	4	#0000FF	featureless	2.04139268515823
1	4	#0000FF	featureless	2.30102999566398
1	5	#FF0000	rpart	1
1	5	#FF0000	rpart	1.25527250510331
1	5	#FF0000	rpart	1.51851393987789
1	5	#FF0000	rpart	1.77815125038364
1	5	#FF0000	rpart	2.04139268515823
1	5	#FF0000	rpart	2.30102999566398
1	5	#0000FF	featureless	1
1	5	#0000FF	featureless	1.25527250510331
1	5	#0000FF	featureless	1.51851393987789
1	5	#0000FF	featureless	1.77815125038364
1	5	#0000FF	featureless	2.04139268515823
1	5	#0000FF	featureless	2.30102999566398
1	6	#FF0000	rpart	1
1	6	#FF0000	rpart	1.25527250510331
1	6	#FF0000	rpart	1.51851393987789
1	6	#FF0000	rpart	1.77815125038364
1	6	#FF0000	rpart	2.04139268515823
1	6	#FF0000	rpart	2.30102999566398
1	6	#0000FF	featureless	1
1	6	#0000FF	featureless	1.25527250510331
1	6	#0000FF	featureless	1.51851393987789
1	6	#0000FF	featureless	1.77815125038364
1	6	#0000FF	featureless	2.04139268515823
1	6	#0000FF	featureless	2.30102999566398
